"Symbol","Price","Beta","VolAvg","MktCap","LastDiv","Range","Changes","companyName","currency","cik","isin","cusip","exchange","exchangeShortName","industry","website","description","CEO","sector","country","fullTimeEmployees","phone","address","city","state","zip","DCF_diff","DCF","image","ipoDate","defaultImage","isEtf","isActivelyTrading","isFund","isAdr"
"SHVA.TA",1490,0.767334,60595,59600000507,0.55,"1163.0-2179.0",-1,"Automatic Bank Services Limited","ILA",,,,"Tel Aviv","TLV","Software—Infrastructure","https://www.shva.co.il","Automatic Bank Services Limited operates payment systems for international debit cards in Israel. It serves as an infrastructure for credit card clearing; works with various credit companies as clearers and issuers; works with distributors and manufacturers; provides service to businesses; and activates the confirmation switch on the ATM devices. Automatic Bank Services Limited is based in Holon, Israel.","Mr. Eiran  Lev-Tov","Technology","IL","115","972 3 526 4646","The Embroiderers 26","Holon",,"5885849",,0,"https://financialmodelingprep.com/image-stock/SHVA.TA.png","2019-06-16",true,false,true,false,false
"DNYA.TA",9999,0.534775,24214,319499046800,5.12,"6390.0-10320.0",-191,"Danya Cebus Ltd.","ILA",,,,"Tel Aviv","TLV","Engineering & Construction","https://www.denyagroup.co","Danya Cebus Ltd., a construction company, engages in the planning and execution of various projects in Israel and internationally. It undertakes infrastructure projects, including road paving, railway infrastructure building, construction of bridges and parking lots, and tunnel mining and related infrastructure development; commercial and industrial projects; residential buildings; and other projects. The company was incorporated in 1997 and is headquartered in Or Yehuda, Israel. Danya Cebus Ltd. is a subsidiary of Africa Israel Investments Ltd.","Mr. Ronen  Ginsburg","Industrials","IL","2046","972 3 538 3838","Yoni Netanyahu 1c","Or Yehuda",,"60250",,0,"https://financialmodelingprep.com/image-stock/DNYA.TA.png","2021-03-01",true,false,true,false,false
"LVPR.TA",7275,0.861205,8666,1047730950,1.75,"6683.0-11800.0",-104,"Levinstein Properties Ltd","ILA",,,,"Tel Aviv","TLV","Real Estate Services","https://www.levinstein.co.il","Levinstein Properties Ltd initiates, builds, markets, and rents real estate properties in Israel. Its properties include towers for offices, offices, parking, storage, office buildings, shopping centers, malls, industrial parks,etc. The company was incorporated in 1986 and is based in Tel Aviv, Israel. Levinstein Properties Ltd is a subsidiary of Meshulam Levinstein Contracting & Engineering Ltd.","Mr. Shaul  Lotan","Real Estate","IL","5","972 3 710 0200","Derech Menachem Begin 23","Tel Aviv",,,,0,"https://financialmodelingprep.com/image-stock/LVPR.TA.png","2010-05-27",true,false,true,false,false
"CDEV.TA",12390,0.587339,1238,79671791054,7.5,"7412.0-12770.0",360,"Cohen Development Gas & Oil Ltd.","ILA",,,,"Tel Aviv","TLV","Conglomerates",,"Cohen Development Gas & Oil Ltd. engages in the exploration, development, and production of oil and natural gas properties. It holds interests in the Ashkelon, Noa, Tamar, Dalit, North Whale, South Whale, Block 12, Shark, Crocodile, New Horizon, and New Yahel. The company was incorporated in 1958 and is based in Bnei Brak, Israel.","Mr. Shimshon  Albeck","Industrials","IL",,"972 73 3208860","30 Sheshet Hayamim Street","Bnei Brak",,"5120261",,0,"https://financialmodelingprep.com/image-stock/CDEV.TA.png","2000-02-01",true,false,true,false,false
"CGEN.TA",405.3,2.670245,93955,35273057416,0,"209.4-518.3",20.2,"Compugen Ltd.","ILA",,,,"Tel Aviv","TLV","Biotechnology","https://cgen.com","Compugen Ltd., a clinical-stage therapeutic discovery and development company, researches, develops, and commercializes therapeutic and product candidates in Israel, the United States, and Europe. The company's immuno-oncology pipeline consists of COM701, an anti-PVRIG antibody that is in Phase I clinical study used for the treatment of solid tumors; COM902, a therapeutic antibody targeting TIGIT, which is in Phase I clinical study in patients with advanced malignancies as a monotherapy; Bapotulimab, a therapeutic antibody targeting ILDR2 that is in Phase I clinical study in patients with solid tumors; and AZD2936, a novel anti-TIGIT/PD-1 bispecific antibody, which is in Phase I/II clinical study in patients with advanced or metastatic non-small cell lung cancer. Its therapeutic pipeline also includes early-stage immuno-oncology programs focused primarily on myeloid targets. The company has collaboration agreement with Bayer Pharma AG for the research, development, and commercialization of antibody-based therapeutics against the company's immune checkpoint regulators; Bristol-Myers Squibb to evaluate the safety and tolerability of COM701 in combination with Bristol-Myers Squibb's PD-1 immune checkpoint inhibitor Opdivo in patients with advanced solid tumors; and Johns Hopkins School of Medicine to evaluate novel T cell and myeloid checkpoint targets. It has license agreement with AstraZeneca for the development of bi-specific and multi-specific immuno-oncology antibody products; and research collaboration with Johns Hopkins University for myeloid. Compugen Ltd. was incorporated in 1993 and is headquartered in Holon, Israel.","Dr. Anat  Cohen-Dayag Ph.D.","Healthcare","IL","69","972 3 765 8585","Azrieli Center","Holon",,"5885849",,0,"https://financialmodelingprep.com/image-stock/CGEN.TA.png","2002-08-12",true,false,true,false,false
"TRA.TA",25.1,0,199313,12534789345,0.02,"20.5-61.7",0.4,"Tarya Israel Ltd","ILA",,,,"Tel Aviv","TLV","Software—Application","https://www.tarya.co.il","Tarya Israel Ltd operates an alternative investment (P2P) platform in Israel. It provides alternative investments and credit solutions to individuals and small businesses. The company was founded in 2014 and is based in Rosh HaAyin, Israel with development centers in Israel, Bulgaria, Ukraine, and Canada.","Ms. Varda  Lusthaus","Technology","IL","126","972 5 48837272","Hamelacha 15","Rosh Haayin",,"4809136",,0,"https://financialmodelingprep.com/image-stock/TRA.TA.png","2007-12-31",true,false,true,false,false
"ALAR.TA",88.2,0.313473,152482,3103475743,0,"56.9-202.2",1.5,"Alarum Technologies Ltd.","ILA",,,,"Tel Aviv","TLV","Software—Infrastructure","https://www.alarum.io","Alarum Technologies Ltd. provides cybersecurity and privacy solutions to consumers and enterprises in Israel, the United States, the Middle East, the United Kingdom, the British Virgin Islands, the Asia Pacific, and internationally. The company operates through three segments: Enterprise Cybersecurity, Enterprise Internet Access, and Consumer Internet Access. It offers iShield, a cybersecurity cloud software that protects users from online threats, including phishing, malware, ransomware, and others; privacy solutions and services, a software solution that uses an encryption protocol which is defined upon the process being used to generate a secured encrypted path and keep the users' data private and safe; and web data collection solution allows organizations to collect vast amounts of web and internet data by simultaneously connecting to the Internet from different IP addresses. It also provides static residential proxy network, rotating residential proxy network, data center proxy network, premium dedicated static residential proxies, and data collection API cloud service, as well as advertising services to third party privacy products. The company offers its products through resellers, distributors, and internet service providers. It serves financial organizations, cyber security companies, industrial and commercial companies, online companies, education institutions, and others. The company was formerly known as Safe-T Group Ltd. and changed its name to Alarum Technologies Ltd. in January 2023. Alarum Technologies Ltd. was founded in 2013 and is headquartered in Tel Aviv-Yafo, Israel.","Mr. Shachar  Daniel","Technology","IL","52","972 9 866 6110","30 Haarba'a Street","Tel Aviv",,"6473926",,0,"https://financialmodelingprep.com/image-stock/ALAR.TA.png","2000-02-01",true,false,true,false,false
"ALTF.TA",672,0,326484,132699162624,1.72,"638.6-1156.0",-15.2,"Altshuler Shaham Finance Ltd","ILA",,,,"Tel Aviv","TLV","Asset Management","https://ir.as-invest.co.il/en/investor-lobby-english","Altshuler Shaham Finance Ltd engages in the provident and pension funds management activities. The company manages savings provident funds, provident funds, personal severance pay provident funds, study funds, central severance pay funds, central provident funds, and central sick pay provident funds, as well as investment provident funds, which include children savings plan, and comprehensive pension funds and general pension funds. It is also involved in the management of alternative real estate investments. Altshuler Shaham Finance Ltd is based in Tel Aviv, Israel.","Mr. Yair  Levinstein CPA","Financial Services","IL","903","972 7 3233 1500","Habarzel 19","Tel Aviv",,"6971026",,0,"https://financialmodelingprep.com/image-stock/ALTF.TA.png","2021-03-04",true,false,true,false,false
"AUSA.TA",54.4,0,66992,1329682814,0,"32.6-250.2",-1.4,"Aura Smart Air Ltd","ILA",,,,"Tel Aviv","TLV","Consumer Electronics","https://www.auraair.io","Aura SMART Air Ltd develops, markets, and operates air purification and air monitoring platforms in Israel and internationally. It offers Aura Air, an air management purifier and Aura Air Mini, a portable air purifier, as well as Aura web platform for checking indoor and outdoor air quality. The company provides its products for education and transportation industries. It also offers its products through online store. Aura SMART Air Ltd was incorporated in 2018 and is based in Tel Aviv-Yafo, Israel.",,"Technology","IL",,"972 5 2583 1126","86 Yigal Alon","Tel Aviv",,"6789126",,0,"https://financialmodelingprep.com/image-stock/AUSA.TA.png","2021-06-15",true,false,true,false,false
"AILN.TA",96,0.390995,542307,2791132620,0,"62.6-230.0",-1.5,"Axilion Smart Mobility Ltd","ILA",,,,"Tel Aviv","TLV","Software—Infrastructure","https://www.apio.net","Axilion Smart Mobility Ltd engages in the development, implementation, and assimilation of artificial intelligence-based software systems for the management of transportation in cities and metropolitan areas worldwide. The company's product portfolio consists of TransEm, a software for planning traffic-activated traffic light plans with components for public transportation and operating buttons for pedestrians used by light rails and traffic engineers, as well as provides related professional and maintenance services; and X Way Pulse that captures entire road-network through AI mobile edge cameras. It also offers X Way Twin which models real-world traffic conditions to create a digital twin of the city; and X Way Neural the optimizes city's mobility through reinforcement learning Ai technology. The company was formerly known as Apio Africa Ltd. and changed its name to Axilion Smart Mobility Ltd in December 2020. Axilion Smart Mobility Ltd is based in Tel-Aviv, Israel.","Yaakov  Sela","Technology","IL","48","972 4 834 2360","Azrieli Sarona Tower","Tel Aviv",,"6107439",,0,"https://financialmodelingprep.com/image-stock/AILN.TA.png","2000-02-01",true,false,true,false,false
"CRSR.TA",2424,0,63992,139105845261,0.37,"2158.0-4834.0",-76,"Carasso Real Estate Ltd","ILA",,,,"Tel Aviv","TLV","Real Estate—Development","https://en.carasso-nadlan.co.il","Carasso Real Estate Ltd. develops, plans, invest in, and constructs real estate projects in Israel. Its project portfolio includes commercial towers, industrial facilities, shopping centers, residential properties, automotive centers, and logistics complexes in Petach Tikva, Rishon Lezion, Beersheva, and Rehovoth regions. The company was incorporated in 1967 and is based in Tel Aviv, Israel. Carasso Real Estate Ltd. is a subsidiary of The Carasso Group.",,"Real Estate","IL",,"972 3 638 1102","24th Rival Street","Tel Aviv",,"6777861",,0,"https://financialmodelingprep.com/image-stock/CRSR.TA.png","2022-07-28",true,false,true,false,false
"DIPL.TA",3320,0.005023,17398,91091173428,0.73,"3050.0-4972.0",-157,"Diplomat Holdings Ltd","ILA",,,,"Tel Aviv","TLV","Food Distribution","https://www.diplomat-global.com/israel/","Diplomat Holdings Ltd. operates as a sales and distribution company in the fast-moving consumer goods sector. It also offers logistics services, including storage, packaging, and transportation. The company provides hair care, personal care, paper, personal hygiene, canned fish, sweets, food, and other products, as well as cleaning products for home and textiles. It serves large and small retail food chains, pharmacy chains, minimarkets, containers, wholesalers, restaurants, and catering customers. The company operates in Israel, South Africa, Georgia, New Zealand, and Cyprus. Diplomat Holdings Ltd. was founded in 1968 and is based in Airport City, Israel.","Mr. Noam  Weiman","Consumer Defensive","IL","2425","972 9 766 85103","3 Hermon St.","Airport City",,"7019900",,0,"https://financialmodelingprep.com/image-stock/DIPL.TA.png","2021-03-08",true,false,true,false,false
"GMA.TA",1379,0.776045,22691,93903963929,0.38,"790.1-1400.0",1,"Gama Management and Clearing Ltd","ILA",,,,"Tel Aviv","TLV","Credit Services","https://www.gamaf.co.il","Gama Management and Clearing Ltd, a non-banking company, provides financial and credit services to companies and businesses in Israel. It offers clearing and discounting of debit vouchers; financing against real estate assets; loans; equipment financing; and guarantees. The company was incorporated in 1998 and is based in Bnei Brak, Israel. Gama Management and Clearing Ltd. is a subsidiary of The Phoenix Investment and Finances Ltd.","Mr. Ariel  Gnot","Financial Services","IL","163","972 3 616 2939","Ben Gurion 11","Bnei Brak",,"5126015",,0,"https://financialmodelingprep.com/image-stock/GMA.TA.png","2021-06-22",true,false,true,false,false
"IBIU.TA",638.3,0.62153,16042,17692782508,0.47,"523.1-1301.0",11.3129,"I.B.I.- Managing & Underwriting Ltd","ILA",,,,"Tel Aviv","TLV","Capital Markets","https://www.ibiui.co.il","I.B.I.- Managing & Underwriting Ltd operates as an investment banking company. The company engages in the issuance of issues for corporations seeking to raise capital and debt in the capital market; management of issues, including distribution and management of consortium underwriters for issues of companies offering securities to the public; deals in brokerage of securities; and management of private issues of companies to institutional investors. The company was formerly known as Poalim I.B.I.-Managing & Underwriting Ltd. I.B.I.- Managing & Underwriting Ltd was incorporated in 1993 and is based in Tel Aviv-Yafo, Israel.","Mr. Yaron  Moses","Financial Services","IL","14","972 3 5193 414","North tower","Tel Aviv",,"6473925",,0,"https://financialmodelingprep.com/image-stock/IBIU.TA.png","2002-08-12",true,false,true,false,false
"IMED.TA",114,-0.024277,315,459990003,0,"1.148-320.0",-1.5,"Imed Infinity Medical-Limited Partnership","ILA",,,,"Tel Aviv","TLV","Health Information Services","https://www.infinitymedical.co.il/","Imed Infinity Medical-Limited Partnership, a research and development partnership, focuses on investing in research projects and development in the medical field, primarily the digital health field. The company was incorporated in 2020 and is based in Tel Aviv, Israel.","Mr. Itay  Gal-Or","Healthcare","IL","50","972 3 607 5455","Azrieli Tower","Tel Aviv",,"6701101",,0,"https://financialmodelingprep.com/image-stock/IMED.TA.png","2021-01-04",true,false,true,false,false
"MDIN.TA",237.3,0.574813,67270,6510894852,0,"2.098-244.8",-3.5,"Modiin Energy-Limited Partnership","ILA",,,,"Tel Aviv","TLV","Oil & Gas E&P","https://www.modiin-energy.com","Modiin Energy-Limited Partnership engages in the exploration, development, and production of oil and gas assets in the United States and Israel. It holds interests in the Mountainview, GrapeVine, Cassini, and Shideler projects in California; NPB project in Colorado; and Shimshon in Israel. The company was incorporated in 1992 and is based in Tel Aviv-Yafo, Israel.","Yaniv  Friedman","Energy","IL",,"972 7 3 2683611","Triangle Tower","Tel Aviv",,"67023",,0,"https://financialmodelingprep.com/image-stock/MDIN.TA.png","2000-01-03",true,false,true,false,false
"MSVT.TA",608.7,0.170994,20541,13606331702,0,"573.6-1111.0",-21.6,"Massivit 3D Printing Technologies Ltd","ILA",,,,"Tel Aviv","TLV","Computer Hardware","https://www.massivit3d.com","Massivit 3D Printing Technologies Ltd develops and manufactures 3D printing solutions worldwide. The company offers 3D printers for use in automotive, marine, rail, scenic fabrication, and others industries; Massivit 10000, an additive tooling system that provides automated, high-speed tooling for composite materials manufacturing; Massivit 5000, an industrial-grade, 3d printer for automotive, rail, and marine sectors; and Massivit 1800 and Massivit 1800 Pro enable fabricators and manufacturers to produce models, molds, and parts; 3D printing materials; and Massivit Smart, an integrated proprietary software, which simplifies 3D printing workflow and optimizes 3D files for Massivit 3D printing. It provides 3D printing solutions for the engineering, visual communications, entertainment, academia, interior design, and architectural markets. The company was founded in 2013 and is headquartered in Lod, Israel.","Mr. Erez  Zimerman","Technology","IL","92","972 8 651 9486","11 Pesakh Lev Street","Lod",,"712936",,0,"https://financialmodelingprep.com/image-stock/MSVT.TA.png","2021-02-25",true,false,true,false,false
"NVPT.TA",2450,1.309749,159222,229856803355,0,"14.5-2546.0",-80,"Navitas Petroleum, Limited Partnership","ILA",,,,"Tel Aviv","TLV","Oil & Gas E&P","https://www.navitaspet.com","Navitas Petroleum, Limited Partnership explores for and produces oil and natural gas. Its asset portfolio includes Neches field; Buckskin, Shenandoah, and Block 7 projects; and exploration prospects in Canada. The company is based in Herzliya, Israel.","Mr. Amit  Kornhauser CPA","Energy","IL","25","972 9 788 3680","Eckerstein Towers","Herzliya",,"4672528",,0,"https://financialmodelingprep.com/image-stock/NVPT.TA.png","2017-10-02",true,false,true,false,false
"NWMD.TA",1084,1.439065,1385131,1284084676022,0.78,"624.0-1134.0",-7,"NewMed Energy - Limited Partnership","ILA",,,,"Tel Aviv","TLV","Oil & Gas E&P","https://www.newmedenergy.com","NewMed Energy - Limited Partnership engages in the exploration, development, production, and sale of petroleum, natural gas, and condensate in Israel and Cyprus. The company holds interests in the Leviathan project, which covers an area of 500 square kilometer (km2) located to the west of the shores of Haifa; the Block 12 that covers an area of approximately 386 km2 located in Cyprus; and the Yam Tethys project, which covers an area of approximately 500 km2 located to the west of the shores of Ashkelon. It also holds interests in the Boujdour Atlantique exploration license that covers an area of approximately 33,812 km2 located in the south of the Moroccan exclusive economic zone; and the Tanin and Karish leases covering an area of approximately 500km2 located to the west of the shores of Nahariya. The company serves independent power producers, marketing companies, and industrial customers, as well as exports natural gas to Jordan and in Egypt. NewMed Energy Management Ltd. serves as the general partner of the company. The company was formerly known as Delek Drilling - Limited Partnership and changed its name to NewMed Energy - Limited Partnership in February 2022. NewMed Energy - Limited Partnership was incorporated in 1993 and is based in Herzliya, Israel. NewMed Energy - Limited Partnership is a subsidiary of Delek Energy Systems Ltd.","Mr. Yossi  Abu","Energy","IL","24","972 9 971 2424","19 Abba Even Boulevard","Herzliya",,"4672537",,0,"https://financialmodelingprep.com/image-stock/NWMD.TA.png","2002-08-12",true,false,true,false,false
"PLNT.TA",460,-0.085737,1012,1522259683,0,"8.024-873.6",-49.5,"PlantArc Bio Ltd.","ILA",,,,"Tel Aviv","TLV","Biotechnology","https://plantarcbio.com","PlantArc Bio Ltd. operates as an Ag-Bio company for the enhancement of crop protection. The company has developed a Direct-In-Plant gene discovery platform. It focuses yield improvement, drought resistance, and herbicide and insects tolerance. The company was incorporated in 2014 and is based in Ra'anana, Israel.","Dr. Dror  Shalitin","Healthcare","IL",,"972 5 03161062","Birkat Am St 61-63","Ra'anana",,,,0,"https://financialmodelingprep.com/image-stock/PLNT.TA.png","2021-01-10",true,false,true,false,false
"PLUR.TA",270,1.535503,0,11128752000,0,"270.0-354.2",-10.6,"Pluri Inc.","ILA",,,,"Tel Aviv","TLV","Biotechnology","https://www.pluri-biotech.com","Pluri Inc., a biotechnology company, focuses on the development of placenta-based cell therapy product candidates for the treatment of inflammatory, muscle injuries, and hematologic conditions. The company develops placental expanded (PLX) based cell therapy products, including PLX-PAD that is in Phase III clinical trial for the muscle recovery following surgery for hip fracture; and Phase I/II clinical trial for the treatment of steroid-refractory graft versus host disease in collaboration with Tel Aviv Sourasky Medical Center, as well as completed a Phase II clinical trial for the treatment of acute respiratory distress syndrome associated with COVID-19 and a Phase I clinical trial for incomplete recovery following bone marrow transplantation. It also develops PLX-R18 for incomplete hematopoietic recovery following hematopoietic cell transplantation; and a solution for the treatment of acute radiation syndrome through its collaboration in the United States with the National Institutes of Health and the U.S. Department of Defense. The company was formerly known as Pluristem Therapeutics Inc. and changed its name to Pluri Inc. in July 2022. Pluri Inc. was incorporated in 2001 and is based in Haifa, Israel.","Mr. Yaacov  Yanay","Healthcare","IL","154","972 74 710 8600","Building No. 5","Haifa",,"3508409",,0,"https://financialmodelingprep.com/image-stock/PLUR.TA.png","2011-10-25",true,false,true,false,false
"RTPT.TA",30,0.800609,197735,6744720031,0,"0.27-30.6",0.4,"Ratio Petroleum Energy - Limited Partnership","ILA",,,,"Tel Aviv","TLV","Oil & Gas E&P","https://www.ratiopetroleum.com","Ratio Petroleum Energy - Limited Partnership engages in the exploration, development, and production of oil and gas. The company holds petroleum interests in three basins, which include Guyana, Morocco Atlantic, and the East Palawan Basin in the Philippines. Its petroleum interests cover an area of approximately 130,000 square kilometers. The company was founded in 2011 and is based in Tel Aviv, Israel.","Mr. Itay  Raphael","Energy","IL",,"972 3 566 1284","Yehuda Halevi 85","Tel Aviv",,"6579614",,0,"https://financialmodelingprep.com/image-stock/RTPT.TA.png","2017-01-29",true,false,true,false,false
